x,nm,E_exc_eV,photon_eV,tpa_nm,sigma_GM
590.62594528,nm,4.1984,2.0992,590.62594528,0.301315726453
589.941215954,nm,4.20327297297,2.10163648649,589.941215954,0.303136541999
589.258072442,nm,4.20814594595,2.10407297297,589.258072442,0.304979395362
588.576509241,nm,4.21301891892,2.10650945946,588.576509241,0.306844714537
587.896520874,nm,4.21789189189,2.10894594595,587.896520874,0.308732938936
587.218101888,nm,4.22276486486,2.11138243243,587.218101888,0.31064451977
586.541246857,nm,4.22763783784,2.11381891892,586.541246857,0.312579920442
585.865950379,nm,4.23251081081,2.11625540541,585.865950379,0.314539616966
585.192207077,nm,4.23738378378,2.11869189189,585.192207077,0.316524098396
584.520011599,nm,4.24225675676,2.12112837838,584.520011599,0.318533867274
583.849358617,nm,4.24712972973,2.12356486486,583.849358617,0.320569440098
583.180242827,nm,4.2520027027,2.12600135135,583.180242827,0.322631347805
582.512658952,nm,4.25687567568,2.12843783784,582.512658952,0.324720136282
581.846601735,nm,4.26174864865,2.13087432432,581.846601735,0.326836366889
581.182065946,nm,4.26662162162,2.13331081081,581.182065946,0.32898061701
580.519046378,nm,4.27149459459,2.1357472973,580.519046378,0.331153480629
579.857537848,nm,4.27636756757,2.13818378378,579.857537848,0.333355568921
579.197535196,nm,4.28124054054,2.14062027027,579.197535196,0.335587510882
578.539033286,nm,4.28611351351,2.14305675676,578.539033286,0.337849953975
577.882027005,nm,4.29098648649,2.14549324324,577.882027005,0.340143564807
577.226511264,nm,4.29585945946,2.14792972973,577.226511264,0.342469029842
576.572480995,nm,4.30073243243,2.15036621622,576.572480995,0.344827056136
575.919931156,nm,4.30560540541,2.1528027027,575.919931156,0.347218372109
575.268856724,nm,4.31047837838,2.15523918919,575.268856724,0.349643728354
574.619252703,nm,4.31535135135,2.15767567568,574.619252703,0.352103898477
573.971114116,nm,4.32022432432,2.16011216216,573.971114116,0.354599679981
573.324436011,nm,4.3250972973,2.16254864865,573.324436011,0.357131895183
572.679213455,nm,4.32997027027,2.16498513514,572.679213455,0.359701392181
572.035441542,nm,4.33484324324,2.16742162162,572.035441542,0.362309045858
571.393115383,nm,4.33971621622,2.16985810811,571.393115383,0.364955758941
570.752230115,nm,4.34458918919,2.17229459459,570.752230115,0.367642463101
570.112780894,nm,4.34946216216,2.17473108108,570.112780894,0.370370120112
569.474762899,nm,4.35433513514,2.17716756757,569.474762899,0.37313972306
568.83817133,nm,4.35920810811,2.17960405405,568.83817133,0.375952297612
568.203001409,nm,4.36408108108,2.18204054054,568.203001409,0.378808903349
567.569248379,nm,4.36895405405,2.18447702703,567.569248379,0.381710635155
566.936907505,nm,4.37382702703,2.18691351351,566.936907505,0.384658624684
566.305974071,nm,4.3787,2.18935,566.305974071,0.387654041895
565.676443384,nm,4.38357297297,2.19178648649,565.676443384,0.390698096659
565.04831077,nm,4.38844594595,2.19422297297,565.04831077,0.393792040452
564.421571579,nm,4.39331891892,2.19665945946,564.421571579,0.39693716813
563.796221178,nm,4.39819189189,2.19909594595,563.796221178,0.400134819798
563.172254956,nm,4.40306486486,2.20153243243,563.172254956,0.403386382766
562.549668323,nm,4.40793783784,2.20396891892,562.549668323,0.406693293616
561.928456708,nm,4.41281081081,2.20640540541,561.928456708,0.410057040366
561.308615561,nm,4.41768378378,2.20884189189,561.308615561,0.413479164755
560.690140353,nm,4.42255675676,2.21127837838,560.690140353,0.416961264643
560.073026572,nm,4.42742972973,2.21371486486,560.073026572,0.420504996537
559.457269728,nm,4.4323027027,2.21615135135,559.457269728,0.424112078261
558.842865352,nm,4.43717567568,2.21858783784,558.842865352,0.427784291756
558.229808991,nm,4.44204864865,2.22102432432,558.229808991,0.431523486041
557.618096215,nm,4.44692162162,2.22346081081,557.618096215,0.435331580332
557.00772261,nm,4.45179459459,2.2258972973,557.00772261,0.439210567335
556.398683785,nm,4.45666756757,2.22833378378,556.398683785,0.443162516719
555.790975366,nm,4.46154054054,2.23077027027,555.790975366,0.44718957878
555.184592999,nm,4.46641351351,2.23320675676,555.184592999,0.451293988321
554.579532347,nm,4.47128648649,2.23564324324,554.579532347,0.45547806874
553.975789094,nm,4.47615945946,2.23807972973,553.975789094,0.459744236359
553.373358942,nm,4.48103243243,2.24051621622,553.373358942,0.464095005002
552.772237613,nm,4.48590540541,2.2429527027,552.772237613,0.468532990834
552.172420844,nm,4.49077837838,2.24538918919,552.172420844,0.473060917488
551.573904395,nm,4.49565135135,2.24782567568,551.573904395,0.477681621493
550.976684041,nm,4.50052432432,2.25026216216,550.976684041,0.482398058023
550.380755578,nm,4.5053972973,2.25269864865,550.380755578,0.487213306991
549.786114816,nm,4.51027027027,2.25513513514,549.786114816,0.49213057951
549.192757589,nm,4.51514324324,2.25757162162,549.192757589,0.497153224754
548.600679743,nm,4.52001621622,2.26000810811,548.600679743,0.502284737227
548.009877145,nm,4.52488918919,2.26244459459,548.009877145,0.507528764493
547.420345681,nm,4.52976216216,2.26488108108,547.420345681,0.512889115387
546.832081252,nm,4.53463513514,2.26731756757,546.832081252,0.518369768732
546.245079777,nm,4.53950810811,2.26975405405,546.245079777,0.523974882619
545.659337195,nm,4.54438108108,2.27219054054,545.659337195,0.529708804277
545.074849459,nm,4.54925405405,2.27462702703,545.074849459,0.535576080577
544.491612541,nm,4.55412702703,2.27706351351,544.491612541,0.541581469213
543.909622431,nm,4.559,2.2795,543.909622431,0.547729950628
543.328875135,nm,4.56387297297,2.28193648649,543.328875135,0.554026740713
542.749366676,nm,4.56874594595,2.28437297297,542.749366676,0.560477304355
542.171093094,nm,4.57361891892,2.28680945946,542.171093094,0.567087369899
541.594050446,nm,4.57849189189,2.28924594595,541.594050446,0.573862944574
541.018234807,nm,4.58336486486,2.29168243243,541.018234807,0.580810330983
540.443642266,nm,4.58823783784,2.29411891892,540.443642266,0.587936144718
539.870268931,nm,4.59311081081,2.29655540541,539.870268931,0.59524733319
539.298110926,nm,4.59798378378,2.29899189189,539.298110926,0.602751195784
538.727164391,nm,4.60285675676,2.30142837838,538.727164391,0.610455405414
538.157425481,nm,4.60772972973,2.30386486486,538.157425481,0.61836803162
537.58889037,nm,4.6126027027,2.30630135135,537.58889037,0.626497565299
537.021555246,nm,4.61747567568,2.30873783784,537.021555246,0.634852945224
536.455416315,nm,4.62234864865,2.31117432432,536.455416315,0.64344358648
535.890469797,nm,4.62722162162,2.31361081081,535.890469797,0.652279410968
535.326711928,nm,4.63209459459,2.3160472973,535.326711928,0.661370880159
534.764138962,nm,4.63696756757,2.31848378378,534.764138962,0.670729030269
534.202747166,nm,4.64184054054,2.32092027027,534.202747166,0.680365510044
533.642532825,nm,4.64671351351,2.32335675676,533.642532825,0.690292621391
533.083492238,nm,4.65158648649,2.32579324324,533.083492238,0.700523363067
532.52562172,nm,4.65645945946,2.32822972973,532.52562172,0.711071477683
531.968917602,nm,4.66133243243,2.33066621622,531.968917602,0.721951502301
531.413376229,nm,4.66620540541,2.3331027027,531.413376229,0.733178822911
530.858993962,nm,4.67107837838,2.33553918919,530.858993962,0.744769733113
530.305767178,nm,4.67595135135,2.33797567568,530.305767178,0.756741497345
529.753692267,nm,4.68082432432,2.34041216216,529.753692267,0.769112419042
529.202765636,nm,4.6856972973,2.34284864865,529.202765636,0.781901914104
528.652983707,nm,4.69057027027,2.34528513514,528.652983707,0.79513059014
528.104342914,nm,4.69544324324,2.34772162162,528.104342914,0.808820331922
527.55683971,nm,4.70031621622,2.35015810811,527.55683971,0.822994393576
527.010470559,nm,4.70518918919,2.35259459459,527.010470559,0.83767749802
526.465231942,nm,4.71006216216,2.35503108108,526.465231942,0.852895944243
525.921120353,nm,4.71493513514,2.35746756757,525.921120353,0.868677723006
525.378132302,nm,4.71980810811,2.35990405405,525.378132302,0.885052641615
524.836264313,nm,4.72468108108,2.36234054054,524.836264313,0.902052458434
524.295512922,nm,4.72955405405,2.36477702703,524.295512922,0.919711027824
523.755874683,nm,4.73442702703,2.36721351351,523.755874683,0.938064456227
523.217346162,nm,4.7393,2.36965,523.217346162,0.95715127012
522.679923938,nm,4.74417297297,2.37208648649,522.679923938,0.977012596556
522.143604608,nm,4.74904594595,2.37452297297,522.143604608,0.997692356997
521.608384778,nm,4.75391891892,2.37695945946,521.608384778,1.01923747509
521.074261072,nm,4.75879189189,2.37939594595,521.074261072,1.04169809899
520.541230126,nm,4.76366486486,2.38183243243,520.541230126,1.06512783863
520.009288589,nm,4.76853783784,2.38426891892,520.009288589,1.08958401835
519.478433125,nm,4.77341081081,2.38670540541,519.478433125,1.1151279448
518.948660412,nm,4.77828378378,2.38914189189,518.948660412,1.14182518998
518.41996714,nm,4.78315675676,2.39157837838,518.41996714,1.16974588856
517.892350013,nm,4.78802972973,2.39401486486,517.892350013,1.19896504835
517.36580575,nm,4.7929027027,2.39645135135,517.36580575,1.22956287177
516.84033108,nm,4.79777567568,2.39888783784,516.84033108,1.26162508526
516.315922749,nm,4.80264864865,2.40132432432,516.315922749,1.29524327247
515.792577513,nm,4.80752162162,2.40376081081,515.792577513,1.33051520509
515.270292143,nm,4.81239459459,2.4061972973,515.270292143,1.36754516362
514.749063423,nm,4.81726756757,2.40863378378,514.749063423,1.40644423735
514.22888815,nm,4.82214054054,2.41107027027,514.22888815,1.44733058984
513.709763132,nm,4.82701351351,2.41350675676,513.709763132,1.49032967208
513.191685194,nm,4.83188648649,2.41594324324,513.191685194,1.53557436065
512.674651168,nm,4.83675945946,2.41837972973,512.674651168,1.58320499191
512.158657905,nm,4.84163243243,2.42081621622,512.158657905,1.63336925584
511.643702264,nm,4.84650540541,2.4232527027,511.643702264,1.68622190432
511.129781119,nm,4.85137837838,2.42568918919,511.129781119,1.74192421758
510.616891355,nm,4.85625135135,2.42812567568,510.616891355,1.80064316008
510.105029871,nm,4.86112432432,2.43056216216,510.105029871,1.86255014202
509.594193577,nm,4.8659972973,2.43299864865,509.594193577,1.927819286
509.084379397,nm,4.87087027027,2.43543513514,509.084379397,1.99662507954
508.575584266,nm,4.87574324324,2.43787162162,508.575584266,2.06913927386
508.067805132,nm,4.88061621622,2.44030810811,508.067805132,2.14552686914
507.561038954,nm,4.88548918919,2.44274459459,507.561038954,2.22594100732
507.055282705,nm,4.89036216216,2.44518108108,507.055282705,2.31051657843
506.550533368,nm,4.89523513514,2.44761756757,506.550533368,2.39936233983
506.046787939,nm,4.90010810811,2.45005405405,506.046787939,2.49255135457
505.544043427,nm,4.90498108108,2.45249054054,505.544043427,2.59010958373
505.042296851,nm,4.90985405405,2.45492702703,505.042296851,2.69200252716
504.541545243,nm,4.91472702703,2.45736351351,504.541545243,2.7981199104
504.041785646,nm,4.9196,2.4598,504.041785646,2.90825857474
503.543015115,nm,4.92447297297,2.46223648649,503.543015115,3.02210395638
503.045230717,nm,4.92934594595,2.46467297297,503.045230717,3.13921084852
502.548429531,nm,4.93421891892,2.46710945946,502.548429531,3.25898452865
502.052608645,nm,4.93909189189,2.46954594595,502.052608645,3.38066379018
501.557765163,nm,4.94396486486,2.47198243243,501.557765163,3.50330790685
501.063896195,nm,4.94883783784,2.47441891892,501.063896195,3.62579001631
500.570998867,nm,4.95371081081,2.47685540541,500.570998867,3.74679973551
500.079070313,nm,4.95858378378,2.47929189189,500.079070313,3.8648578847
499.588107681,nm,4.96345675676,2.48172837838,499.588107681,3.97834585087
499.098108128,nm,4.96832972973,2.48416486486,499.098108128,4.08555123459
498.609068823,nm,4.9732027027,2.48660135135,498.609068823,4.18472992791
498.120986947,nm,4.97807567568,2.48903783784,498.120986947,4.27418271847
497.63385969,nm,4.98294864865,2.49147432432,497.63385969,4.35234212302
497.147684255,nm,4.98782162162,2.49391081081,497.147684255,4.41786281401
496.662457854,nm,4.99269459459,2.4963472973,496.662457854,4.46970722898
496.178177711,nm,4.99756756757,2.49878378378,496.178177711,4.50721726229
495.694841062,nm,5.00244054054,2.50122027027,495.694841062,4.53016369407
495.212445151,nm,5.00731351351,2.50365675676,495.212445151,4.53876726703
494.730987235,nm,5.01218648649,2.50609324324,494.730987235,4.53368875795
494.25046458,nm,5.01705945946,2.50852972973,494.25046458,4.51598935942
493.770874465,nm,5.02193243243,2.51096621622,493.770874465,4.48706639011
493.292214176,nm,5.02680540541,2.5134027027,493.292214176,4.44857206509
492.814481013,nm,5.03167837838,2.51583918919,492.814481013,4.40232433703
492.337672284,nm,5.03655135135,2.51827567568,492.337672284,4.35021859311
491.861785309,nm,5.04142432432,2.52071216216,491.861785309,4.29414753299
491.386817418,nm,5.0462972973,2.52314864865,491.386817418,4.23593434285
490.91276595,nm,5.05117027027,2.52558513514,490.91276595,4.17728185143
490.439628256,nm,5.05604324324,2.52802162162,490.439628256,4.11973814733
489.967401697,nm,5.06091621622,2.53045810811,489.967401697,4.06467743189
489.496083642,nm,5.06578918919,2.53289459459,489.496083642,4.01329378287
489.025671473,nm,5.07066216216,2.53533108108,489.025671473,3.96660497825
488.55616258,nm,5.07553513514,2.53776756757,488.55616258,3.92546346065
488.087554365,nm,5.08040810811,2.54020405405,488.087554365,3.8905717644
487.619844238,nm,5.08528108108,2.54264054054,487.619844238,3.86250014009
487.15302962,nm,5.09015405405,2.54507702703,487.15302962,3.84170458457
486.687107941,nm,5.09502702703,2.54751351351,486.687107941,3.82854394091
486.222076642,nm,5.0999,2.54995,486.222076642,3.82329513021
485.757933172,nm,5.10477297297,2.55238648649,485.757933172,3.82616589515
485.294674992,nm,5.10964594595,2.55482297297,485.294674992,3.83730467471
484.832299572,nm,5.11451891892,2.55725945946,484.832299572,3.85680739943
484.37080439,nm,5.11939189189,2.55969594595,484.37080439,3.88472111302
