state,E_exc_eV,photon_eV,tpa_nm,delta_au,A_au,B_au,C_au,peak_sigma_GM,nearest_intermediate_state,min_abs_En_minus_omega_eV,polarization,shape,width_eV,width_kind,eta_sos_eV,n_factor
1,4.9984,2.4992,496.095544307,364.040811724,1534.16827788,1963.22194898,1963.22194898,3.33204961666,1,2.4992,linear,lorentzian,0.1,hwhm,0.02,4
2,5.2205,2.61025,474.989745937,264.428379073,900.493007194,1532.96633945,1532.96633945,2.64016842588,1,2.38815,linear,lorentzian,0.1,hwhm,0.02,4
3,5.296,2.648,468.218272029,277.249091707,1677.14324935,1240.79656313,1240.79656313,2.84882292058,1,2.3504,linear,lorentzian,0.1,hwhm,0.02,4
4,5.4884,2.7442,451.804527488,46.3586683238,50.2317451834,322.574139836,322.574139836,0.51158974867,1,2.2542,linear,lorentzian,0.1,hwhm,0.02,4
5,5.8632,2.9316,422.92331298,125.731773543,635.528852599,625.223875274,625.223875274,1.58348454506,1,2.0668,linear,lorentzian,0.1,hwhm,0.02,4
6,5.9368,2.9684,417.680226496,449.960085243,2294.24376917,2227.57875474,2227.57875474,5.81002762712,1,2.03,linear,lorentzian,0.1,hwhm,0.02,4
7,6.2412,3.1206,397.308845841,409.47460531,2053.91155351,2044.10376307,2044.10376307,5.84335864444,1,1.8778,linear,lorentzian,0.1,hwhm,0.02,4
8,6.429,3.2145,385.702903821,143.752156388,364.614650943,895.833847442,895.833847442,2.17671008607,1,1.7839,linear,lorentzian,0.1,hwhm,0.02,4
9,6.4315,3.21575,385.552976547,57.3160435919,8.1822729519,425.779190463,425.779190463,0.868560594765,1,1.78265,linear,lorentzian,0.1,hwhm,0.02,4
10,6.5852,3.2926,376.554086233,33.7161263192,102.01033489,201.865779949,201.865779949,0.535642441915,1,1.7058,linear,lorentzian,0.1,hwhm,0.02,4
11,6.6912,3.3456,370.588828411,1320.53563126,4731.04889018,7538.49278936,7538.49278936,21.6599533161,1,1.6528,linear,lorentzian,0.1,hwhm,0.02,4
12,6.7369,3.36845,368.074925955,277.016835109,1079.01786761,1538.11732951,1538.11732951,4.60601910422,1,1.62995,linear,lorentzian,0.1,hwhm,0.02,4
13,6.8104,3.4052,364.102544441,7.30892371955,7.49763345469,51.0681111693,51.0681111693,0.124193263677,1,1.5932,linear,lorentzian,0.1,hwhm,0.02,4
14,6.9637,3.48185,356.087133085,352.031685918,1571.66824229,1854.40352324,1854.40352324,6.25404831315,1,1.51655,linear,lorentzian,0.1,hwhm,0.02,4
15,7.0718,3.5359,350.643961744,499.403351876,3639.9781861,1925.53604602,1925.53604602,9.14978232736,1,1.4625,linear,lorentzian,0.1,hwhm,0.02,4
16,7.1629,3.58145,346.184362292,515.455287421,1448.40545479,3141.71192826,3141.71192826,9.68875881473,1,1.41695,linear,lorentzian,0.1,hwhm,0.02,4
17,7.2218,3.6109,343.360930608,979.988574458,5174.33441299,4762.74710194,4762.74710194,18.7245459867,1,1.3875,linear,lorentzian,0.1,hwhm,0.02,4
18,7.3126,3.6563,339.097443955,127.682890901,225.637403415,844.80298005,844.80298005,2.50135719308,1,1.3421,linear,lorentzian,0.1,hwhm,0.02,4
19,7.3339,3.66695,338.112596117,109.064718179,0.267520668428,817.851626007,817.851626007,2.14908513051,1,1.33145,linear,lorentzian,0.1,hwhm,0.02,4
20,7.3967,3.69835,335.241927977,157.119426929,1012.80986628,671.990768827,671.990768827,3.14923642309,1,1.30005,linear,lorentzian,0.1,hwhm,0.02,4
21,7.446,3.723,333.022289641,6.00000453067,42.5418305221,23.7291187189,23.7291187189,0.121870056379,1,1.2754,linear,lorentzian,0.1,hwhm,0.02,4
22,7.4849,3.74245,331.291529434,38.7171798357,56.3776111011,262.190043217,262.190043217,0.794648541392,1,1.25595,linear,lorentzian,0.1,hwhm,0.02,4
23,7.5645,3.78225,327.805402692,65.693841043,125.258030545,430.07479255,430.07479255,1.37716025267,1,1.21615,linear,lorentzian,0.1,hwhm,0.02,4
24,7.5796,3.7898,327.152352191,131.873162412,5.88500129097,986.106217443,986.106217443,2.77554558942,1,1.2086,linear,lorentzian,0.1,hwhm,0.02,4
25,7.5914,3.7957,326.643829684,200.783514271,639.232665225,1186.26002442,1186.26002442,4.23907570208,1,1.2027,linear,lorentzian,0.1,hwhm,0.02,4
26,7.6853,3.84265,322.652852675,76.6112874517,93.287266287,527.941022744,527.941022744,1.65772993844,1,1.15575,linear,lorentzian,0.1,hwhm,0.02,4
27,7.6863,3.84315,322.61087502,34.5597397347,13.105210627,252.645442697,252.645442697,0.748004990746,1,1.15525,linear,lorentzian,0.1,hwhm,0.02,4
28,7.6958,3.8479,322.212631392,35.9639638756,103.357155774,218.05115118,218.05115118,0.780323107953,1,1.1505,linear,lorentzian,0.1,hwhm,0.02,4
29,7.8448,3.9224,316.092694353,437.1388514,2568.71782404,1994.18247349,1994.18247349,9.85558773861,1,1.076,linear,lorentzian,0.1,hwhm,0.02,4
30,7.892,3.946,314.202226136,90.7135796691,30.543036667,665.080329185,665.080329185,2.06988314539,1,1.0524,linear,lorentzian,0.1,hwhm,0.02,4
31,7.913,3.9565,313.368377185,110.222477071,942.563497755,355.386829156,355.386829156,2.52843543566,1,1.0419,linear,lorentzian,0.1,hwhm,0.02,4
32,7.9377,3.96885,312.393258584,462.350610219,3262.42423661,1836.41745833,1836.41745833,10.672352645,1,1.02955,linear,lorentzian,0.1,hwhm,0.02,4
33,8.0152,4.0076,309.372687976,471.328061356,1660.70581139,2704.60755448,2704.60755448,11.0930608218,1,0.9908,linear,lorentzian,0.1,hwhm,0.02,4
34,8.1368,4.0684,304.749283338,1.32886991381,3.21049170113,8.36127850304,8.36127850304,0.032232138571,1,0.93,linear,lorentzian,0.1,hwhm,0.02,4
35,8.1887,4.09435,302.817781658,158.803053199,232.392259375,1074.8267693,1074.8267693,3.90110948795,1,0.90405,linear,lorentzian,0.1,hwhm,0.02,4
36,8.1975,4.09875,302.49270737,91.7241246236,224.553482151,575.654193602,575.654193602,2.25811365181,1,0.89965,linear,lorentzian,0.1,hwhm,0.02,4
37,8.2114,4.1057,301.980657216,331.436455871,1980.80382606,1495.37150601,1495.37150601,8.18717480072,1,0.8927,linear,lorentzian,0.1,hwhm,0.02,4
38,8.2173,4.10865,301.763835891,84.3331862738,429.622406419,417.687693844,417.687693844,2.08620107263,1,0.88975,linear,lorentzian,0.1,hwhm,0.02,4
39,8.2421,4.12105,300.855846042,225.732499436,1056.30658091,1164.84045532,1164.84045532,5.61783810059,1,0.87735,linear,lorentzian,0.1,hwhm,0.02,4
40,8.2665,4.13325,299.967818141,100.567029151,267.416847701,620.544294781,620.544294781,2.51766725201,1,0.86515,linear,lorentzian,0.1,hwhm,0.02,4
